objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237657630593646988,21.84537,21.39467,20.92195,20.79955,20.57542,1.300736,21.84473,21.42188,20.93994,20.80297,20.58579,21.84537,21.39467,20.92195,20.79955,20.57542,151.837484040186,48.436287556151,6,QSO,null
1237657630593647001,20.73884,20.64836,20.74666,20.49844,20.46307,1.736296,20.7395,20.67978,20.77898,20.54053,20.47239,20.73884,20.64836,20.74666,20.49844,20.46307,151.844529782279,48.5505196321235,6,QSO,BROADLINE
1237657630593712393,21.24607,21.15302,21.11344,21.06041,21.03931,1.506716,21.17687,21.15311,21.10213,21.07139,21.03287,21.24607,21.15302,21.11344,21.06041,21.03931,151.983001811373,48.4973777963047,6,QSO,null
1237657630593712418,21.29494,21.38615,21.1136,20.89919,21.18323,1.36039,21.2429,21.37947,21.09789,20.88341,21.14198,21.29494,21.38615,21.1136,20.89919,21.18323,152.011657718799,48.590663291218,6,QSO,BROADLINE
1237657630593777887,21.22092,20.99242,20.3025,20.02674,20.02515,1.111549,21.20173,21.01593,20.32945,20.06015,20.07039,21.22092,20.99242,20.3025,20.02674,20.02515,152.086990995444,48.7014211587531,6,QSO,BROADLINE
1237657630593777891,20.95084,20.47626,20.14684,20.08871,20.1628,1.178596,20.95317,20.50615,20.18228,20.12077,20.20849,20.95084,20.47626,20.14684,20.08871,20.1628,152.158549244072,48.6222881355038,6,QSO,BROADLINE
1237667734526951574,19.83512,19.12272,19.11796,19.08513,18.78628,2.428948,19.82331,19.13357,19.11569,19.07619,18.75447,19.83512,19.12272,19.11796,19.08513,18.78628,228.374369897907,16.1942897358691,6,QSO,BROADLINE
1237667781740987080,23.09616,22.0272,21.5561,20.92752,21.02024,0.7044313,22.877,22.12436,21.70886,21.07246,21.25835,23.09616,22.0272,21.5561,20.92752,21.02024,137.209429788402,14.6912805799895,6,QSO,null
1237667781741051914,19.20298,18.67707,18.58831,18.66093,18.446,0.7666291,19.21502,18.70033,18.61305,18.67417,18.48207,19.20298,18.67707,18.58831,18.66093,18.446,137.300648380605,14.770482433447,6,QSO,BROADLINE
1237667782814859520,20.77147,20.11769,20.01328,19.90685,19.60607,2.401122,20.74919,20.12621,20.0129,19.91198,19.58633,20.77147,20.11769,20.01328,19.90685,19.60607,137.304044767339,15.6950837136916,6,QSO,BROADLINE
1237668272446243304,21.02662,20.65102,20.5586,20.46074,20.21704,2.099651,21.05182,20.69689,20.61224,20.49086,20.22478,21.02662,20.65102,20.5586,20.46074,20.21704,228.20848778828,15.2231850930614,6,QSO,BROADLINE
1237668272446309422,22.34942,21.8506,21.86031,21.64735,21.31769,2.003935,22.39906,21.86056,21.86973,21.62852,21.32261,22.34942,21.8506,21.86031,21.64735,21.31769,228.405381418379,15.0776818126926,6,QSO,null
1237668272446374272,22.04011,21.46309,21.24526,21.32502,21.37496,0.9508691,21.99227,21.50594,21.31364,21.37873,21.53224,22.04011,21.46309,21.24526,21.32502,21.37496,228.45870524129,15.1627990793832,6,QSO,BROADLINE
1237668289612743091,21.10802,20.67766,20.35125,20.2618,20.1181,0.8128557,21.11136,20.70662,20.35886,20.28332,20.138,21.10802,20.67766,20.35125,20.2618,20.1181,137.140879984255,14.0365714699822,6,QSO,null
1237670014586585297,20.78497,20.55237,20.51165,20.08389,20.05153,1.769888,20.84424,20.61336,20.55671,20.11417,20.073,20.78497,20.55237,20.51165,20.08389,20.05153,41.4725155556326,5.02832215067538,6,QSO,BROADLINE
1237670014586585331,21.37408,20.99109,20.56039,20.60584,20.59164,1.057976,21.35297,21.02924,20.59181,20.6385,20.60044,21.37408,20.99109,20.56039,20.60584,20.59164,41.5250831402522,4.996924014157,6,QSO,null
1237670014586650930,21.94864,22.08769,21.93959,22.02802,22.71492,2.457724,21.8543,22.08864,21.91136,22.026,22.71581,21.94864,22.08769,21.93959,22.02802,22.71492,41.6427331151838,4.9897632983396,6,QSO,null
1237670014586651280,23.92487,21.5547,21.30053,21.51155,21.58859,3.010318,23.92605,21.52918,21.27504,21.46435,21.5618,23.92487,21.5547,21.30053,21.51155,21.58859,41.6930486377778,5.01236502493107,6,QSO,BROADLINE
1237670448374874772,23.01145,22.30672,21.76921,21.46531,20.99032,1.087358,22.90193,22.47976,22.00618,21.67338,21.22353,23.01145,22.30672,21.76921,21.46531,20.99032,137.278386932148,14.6725667042455,3,QSO,null
1237670448374940187,23.72788,23.25715,21.9984,21.3072,20.72701,2.457659,23.72241,23.52471,22.22875,21.47119,20.86936,23.72788,23.25715,21.9984,21.3072,20.72701,137.419951241598,14.5980199668901,6,QSO,null
