objID,u,g,r,i,z,redshift,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,ra,dec,type,class,subclass
1237670964848427517,23.06379,21.92715,21.2771,20.44587,20.07717,0.755953,23.1676,22.38145,21.80848,20.96119,20.60909,23.06379,21.92715,21.2771,20.44587,20.07717,139.591042050222,14.075386839665,3,GALAXY,null
1237670964848427407,23.46799,22.55412,21.98565,21.0613,21.08386,0.8647758,23.98314,22.90709,22.44645,21.45388,21.73145,23.46799,22.55412,21.98565,21.0613,21.08386,139.554663424623,13.9985268483097,3,GALAXY,null
1237670964848362191,22.36049,22.75123,21.60296,21.05655,20.76116,0.7240826,22.59513,23.10827,22.01262,21.58063,21.088,22.36049,22.75123,21.60296,21.05655,20.76116,139.563239765631,13.9311599119222,3,GALAXY,null
1237670964848362057,22.35381,21.69937,21.65064,20.84426,20.78132,0.8595839,22.88433,22.15973,22.108,21.46254,21.37989,22.35381,21.69937,21.65064,20.84426,20.78132,139.491531582848,13.9621588758288,3,GALAXY,null
1237670964848296492,22.72214,22.32002,21.99463,21.41098,21.12454,0.8560539,22.61058,22.40341,22.08038,21.55029,21.29441,22.72214,22.32002,21.99463,21.41098,21.12454,139.367922321085,13.8905452937278,3,GALAXY,null
1237670964848296327,22.55993,22.01171,21.34452,20.86137,19.7342,0.8579467,23.33222,22.87551,22.22987,21.55828,20.5027,22.55993,22.01171,21.34452,20.86137,19.7342,139.290314423125,13.8429173005092,3,GALAXY,null
1237678439701283399,22.55873,22.25525,21.54671,21.04918,20.82743,0.6126709,22.59065,22.37071,21.7007,21.19534,20.9324,22.55873,22.25525,21.54671,21.04918,20.82743,40.9835470126273,3.11973519882856,6,GALAXY,null
1237670964848230759,21.91954,21.9186,21.72206,20.61285,21.74299,0.918971,22.99518,22.93714,22.74597,21.87059,22.17887,21.91954,21.9186,21.72206,20.61285,21.74299,139.116207501756,13.8850685021901,3,GALAXY,null
1237670964843512711,22.94762,21.59871,20.30501,19.42411,18.95648,0.5531072,24.63621,22.61187,21.45086,20.56444,20.1085,22.94762,21.59871,20.30501,19.42411,18.95648,128.610507272933,10.9936224905507,3,GALAXY,null
1237670964843447107,22.96744,22.02271,20.64594,19.56573,19.35898,0.5105674,23.51711,22.97847,21.68158,20.66048,20.30577,22.96744,22.02271,20.64594,19.56573,19.35898,128.40892048648,10.9092716233217,3,GALAXY,null
1237670964843446916,24.67848,21.46415,19.82719,19.02891,18.90126,0.3395623,25.8386,23.29641,21.3393,20.54968,20.34168,24.67848,21.46415,19.82719,19.02891,18.90126,128.3009515761,11.0276352471165,3,GALAXY,null
1237670964843446834,21.75042,21.41268,21.01675,20.11064,19.75191,0.732857,22.16219,22.26068,21.83945,20.99914,20.54285,21.75042,21.41268,21.01675,20.11064,19.75191,128.371762118917,11.0141976597129,3,GALAXY,null
1237670964843381686,26.56173,21.27229,19.54113,18.76024,18.24609,0.4350544,24.68076,22.30939,20.53699,19.79128,19.32396,26.56173,21.27229,19.54113,18.76024,18.24609,128.252545675526,11.0386366884068,3,GALAXY,null
1237670964843381550,22.48197,21.25123,20.15092,19.37831,19.12449,0.2178977,23.3365,22.42362,21.37541,20.5142,20.29778,22.48197,21.25123,20.15092,19.37831,19.12449,128.227498449976,11.0407246929587,3,GALAXY,null
1237670964843381169,25.2116,20.58415,18.90896,18.28882,17.8828,0.3366217,24.46152,21.64059,19.97604,19.35377,19.03076,25.2116,20.58415,18.90896,18.28882,17.8828,128.264550321474,10.9442689515681,3,GALAXY,null
1237670964843381143,22.53296,21.00101,19.29498,18.60151,18.17585,0.3394721,22.96063,21.84483,20.04891,19.37902,18.97024,22.53296,21.00101,19.29498,18.60151,18.17585,128.28410813945,10.9936321708154,3,GALAXY,null
1237670964843381114,22.63568,20.98069,19.21997,18.60977,18.27678,0.3362166,23.14781,21.56916,19.85641,19.24013,18.95335,22.63568,20.98069,19.21997,18.60977,18.27678,128.237940923346,10.9888456388655,3,GALAXY,null
1237670964843316136,23.06198,22.08214,20.52999,19.70881,19.21215,0.4980356,23.23118,22.57906,21.05356,20.24526,19.74809,23.06198,22.08214,20.52999,19.70881,19.21215,128.072584955482,10.9874609303017,3,GALAXY,null
1237670964843316055,23.67688,22.28975,20.51803,19.61862,19.20262,0.5343446,23.92819,22.60978,20.91725,19.99366,19.63813,23.67688,22.28975,20.51803,19.61862,19.20262,128.071552490795,10.9112869151737,3,GALAXY,null
1237670964843315952,23.96692,21.97029,20.7983,19.99856,19.7068,0.5534602,24.12514,23.08757,21.96341,21.01351,20.76991,23.96692,21.97029,20.7983,19.99856,19.7068,128.048703850203,10.8683614651889,3,GALAXY,null
1237670595476456012,24.31067,21.23523,19.30128,18.59858,18.12621,0.4361186,23.98287,22.14253,20.33502,19.62353,19.19898,24.31067,21.23523,19.30128,18.59858,18.12621,128.676381103849,11.3469585853822,3,GALAXY,null
1237670595476390394,22.1027,21.31742,19.87305,19.10859,18.5417,0.4912939,22.4687,21.9295,20.6319,19.7507,19.28146,22.1027,21.31742,19.87305,19.10859,18.5417,128.526164799142,11.3043556681161,3,GALAXY,null
1237670595476390331,25.24587,21.97687,20.04938,19.13513,18.91167,0.4894251,24.20666,22.76661,21.07158,20.02205,19.90173,25.24587,21.97687,20.04938,19.13513,18.91167,128.504545018872,11.2754930066099,3,GALAXY,null
1237667782810534964,24.47116,21.84688,20.01281,19.20866,18.6828,0.4479568,24.5436,22.48063,20.75323,19.95544,19.39818,24.47116,21.84688,20.01281,19.20866,18.6828,127.589799915735,12.6756192472894,3,GALAXY,null
1237667782810534809,22.90204,20.91279,19.09912,18.37528,17.93715,0.3958802,23.59469,22.45553,20.66879,19.94253,19.42689,22.90204,20.91279,19.09912,18.37528,17.93715,127.572368200041,12.5867822359604,3,GALAXY,null
1237667782810534611,22.55824,21.94775,20.62308,19.70988,18.89083,0.3816119,23.28184,23.10932,21.95002,21.03984,20.12089,22.55824,21.94775,20.62308,19.70988,18.89083,127.495163343893,12.6790584485514,3,GALAXY,null
1237667782810534236,25.26983,21.96638,20.05808,19.24045,18.85758,0.4679433,25.03175,22.57079,20.74456,19.96917,19.46936,25.26983,21.96638,20.05808,19.24045,18.85758,127.554114180662,12.6789172484477,3,GALAXY,null
1237667782810469297,25.73076,21.6154,19.90014,18.92803,18.49218,0.5168132,25.30071,22.26321,20.62664,19.71961,19.2277,25.73076,21.6154,19.90014,18.92803,18.49218,127.4537341361,12.5985931982,3,GALAXY,null
1237667782810468843,22.20954,20.48247,18.82543,18.19989,17.80682,0.3200321,23.00047,21.64951,20.03217,19.46556,19.08162,22.20954,20.48247,18.82543,18.19989,17.80682,127.416651404955,12.6020438316865,3,GALAXY,null
